Index,,Puesto laboral,Empresa,Estado,Ciudad,Salario mínimo,Salario máximo,Tipo de moneda,Giro de la empresa,Fecha de publicación,Vigencia de la oferta,Modalidad,País,,Cantidad de lenguajes requeridos,Nivel de experiencia,Requerimiento educación,Salario promedio,Lenguajes de programación,Modalidad,Estudios previos,Experiencia (Años) ,Habilidades blandas,Idiomas,Esquema de pago,Persona,Descripción
235,Analista financiero Jr. PRETMEX SA DE CV SOFOM ENR,Analista financiero Jr.,PRETMEX SA DE CV SOFOM ENR,México,Ciudad de México,500,650,MXN,not specified,13/09/22,16/10/22,FULL_TIME,MX,,3,Junior,0,575,"Competente en hojas de cálculo, bases de datos, MS Office y aplicaciones de software financiero",Tiempo completo,-,-,"Excelentes habilidades de presentación, informes y comunicación",-,month,Carlos,"Áreas de Experiencia: ReportesAnálisis e interpretación de información financieraContabilidad (deseable)Esquemas de inversión (fondeo).Experiencia práctica con análisis estadístico y paquetes estadísticos.Conocimiento comprobado de pronóstico y diagnóstico financiero, finanzas corporativas y análisis de información.Bien informado en temas financieros actuales, contabilidad, leyes fiscales, mercado monetario y entornos empresariales.Funciones: 1. Apoyo en planificar y organizar la forma en la que será presentada la información financiera2. Mantener comunicación constante y asertiva con diferentes instituciones de Fondeo para ser siempre una alternativa para ellos.3. Acoplarme a las necesidades y requerimientos de cada institución.4. Tener comunicación eficiente con todo el equipo Pretmex para entregables que no dependan directamente de mi área.5. Entregar la información requerida en tiempo y forma.6. Llevar una agenda detallada con futuras reuniones para estar al pendiente de cada institución prospecto y brindar la atención que merecen.7. Proponer alternativas para el análisis e interpretación de la información financiera.8.Responsabilidades: 1. Proporcionar la información de Pretmex a las distintas instituciones de fondeo en tiempo y forma.2. Dar puntual seguimiento a los avances que se presenten con cada prospecto.3. Coordinar la entrega de información de las áreas involucradas en cada solicitud de fondeo cuando así se requiera.4. Administrar líneas de fondeo institucional una vez habilitadas"
236,"ANALISTA COMERCIAL (CATEGORY MANAGEMENT JR)// MONTERREY Smile Pill Mercadotecnia en México, S.A. de C.V",ANALISTA COMERCIAL (CATEGORY MANAGEMENT JR)// MONTERREY,"Smile Pill Mercadotecnia en México, S.A. de C.V",Nuevo León,Monterrey,603.95,"11,113,500,000,000,000",MXN,not specified,15/09/22,16/10/22,FULL_TIME,MX,,3,Junior,1,"8,576,500,000,000,000",Excel AvanzadoAccess básicoGoogle (slides)JDA Space Planning/Spaceman,Tiempo completo,Licenciatura o Ingeniería concluida (Titulado),-,Enfoque a resultadosTrabajo en equipoToma de decisionesSolución de problemas,Ingles Intermedio/Avanzado,month,Carlos,"Experiencia Analista Comercial o como Category Management en marcas de productos de consumo (reciente) realizando análisis de precios, análisis de estrategias y elaboración de Scorecard"
237,Analista de Base de Datos PSM Asesores,Analista de Base de Datos,PSM Asesores,not specified,not specified,750,750,MXN,not specified,24/08/22,15/10/22,FULL_TIME,MX,,4,Not specified,1,750,"Excel, Manejo de excel intermedio/avanzado",Híbrido,"Licenciatura concluida Administración de empresas, mercadotecnia o afín",0.5,-,-,month,Carlos,PSM Asesores empresa 100% Mexicana líder en brindar asesoría de Category management busca Ejecutivo de Cuenta en Catman. Actividades: Análisis estadístico de informaciónAtención a clientes.Elaboración de planogramas
238,Analista de Datos Segmenta,Analista de Datos,Segmenta,México,Naucalpan,700,1000,MXN,not specified,24/08/22,15/10/22,FULL_TIME,MX,,3,Not specified,1,850,"Word, Excel, PowerPoint (nivel intermedio / avanzado)",Tiempo completo,"Licenciatura pasante o titulado en Actuaría, Matemáticas, Mercadotecnia, Administración, Economía",1,"Servicio al cliente, capacitación y soporte al cliente",Inglés:  Intermedio / Avanzado,month,Carlos,"Actividades: Generación de insight, capacitación y soporte al cliente, graficación de presentaciones para clientes, análisis de conciliación, control estricto de la calidad de los resultados del proyecto, control de actividades y productividad."
239,Analista de Datos ti-s,Analista de Datos,ti-s,not specified,not specified,500,700,MXN,not specified,05/09/22,15/10/22,FULL_TIME,MX,,6,Not specified,1,600,"Excel, VBA, SQL, Power Point, Visio, Word, Excel, Acces",Tiempo completo,"Licenciatura en administración, sistemas, actuaría , ingeniería o afín (titulo no necesario) ó Trunco",1,"Actitud de servicio, 100% enfocado al cliente.Experiencia en trato con clientes. Buena comunicación, dicción y habilidades interpersonales que le permitan comunicarse claramente con los clientes. Buena ortografía. Capacidad para solucionar problemasPaciencia, empatía, amabilidad. Trabajo en equipo. Trabajo bajo presiónCumplimiento de metas. FuncionesAnálisis y validación de información",Ingles,month,Carlos,"En ti-s estamos buscando analistas de operaciones que monitoreen la correcta ejecución de diferentes procesos a través de plataformas tecnológicas de la empresa, así mismo, la definición, análisis y correcto funcionamiento de layouts de datos y que puedan analizar y manipular volúmenes importantes de datos, tengan facilidad de trabajo con información electrónica (datos, tablas, bases, documentación, etc.) y que cuenten con una gran actitud de servicio al cliente, con un alto nivel analítico, facilidad numérica y pensamiento lógico, ordenado y con excelentes habilidades de comunicación con clientes finales. Generación de formularios y consultas.Elaboración de presentaciones ejecutivas, responder correos, generación de documentación.Análisis de información.Realizar consultas. Ejecutar de forma correcta los movimientos (altas, bajas y cambios) solicitados por usuarios internos, en los sistemas de la empresaSeguimiento diario de la correcta emisión de datos.Cumplimiento de actividades de acuerdo a cronogramas de trabajo"
242,Analista de Administración de Personal TelevisaUnivision,Analista de Administración de Personal,TelevisaUnivision,México,Ciudad de México,1025,1025,MXN,not specified,06/09/22,15/10/22,FULL_TIME,MX,,3,Not specified,1,1025,Excel,Tiempo completo,-,-,-,inglés avanzado,month,Carlos,"Manejo de bases de datos indispensable.Elaboración de nómina.Actividades Interpretar la información requerida respecto a las bases de datos de empleados y nómina e impuestos, elaborar dashboards."
244,Analista de Datos Experience IT,Analista de Datos,Experience IT,not specified,not specified,1250,1250,MXN,not specified,13/09/22,15/10/22,FULL_TIME,MX,,8,Not specified,0,1250,"SQL, Excel, Power BI, Tableu, Power Automate, AWS, Azure, Google Cloud",Híbrido," Economía, Informática, Estadística, Ing. Sistemas Computacionales o afín",3,"Habilidades de comunicación, autodidacta, tolerante, enfocado a resultados",Inglés: Intermedio-avanzado,month,Carlos,"Empresa dedicada a la administración de cartera en fideicomisos, cobranza y bursatilizaciones:SOLICITA- DATA ANALYSTRequisitos:Escolaridad: Economía, Informática, Estadística, Ing. Sistemas Computacionales o afín.Inglés: Intermedio-avanzadoExperiencia: 3 años con las siguientes actividades:Conocimiento en armado de bases y consultas por medio de  avanzado.Proceso de ETL, manejo de bases de datos y reporteo. Deseable haber laborado en sistema bancario, financiero, SOFOM. Experiencia y competencias:Análisis y reporte de informes para la toma de decisiones corporativasDesarrollar soluciones para la automatización del manejo de datos. Análisis para resolver problemas relacionado con datos"
245,Analista de Datos The Grand Lounge Elite,Analista de Datos,The Grand Lounge Elite,México,Ciudad de México,500,500.05,MXN,not specified,18/08/22,15/10/22,FULL_TIME,MX,,1,Not specified,0,"50,002,500,000,000,000",Power BI,-,"Actuaria, Contabilidad, Finanzas",,-,-,month,Carlos,Alimentar los datos de los resultados y cuestiones financieras de la compañía. Identificar los datos relevantes de cada área para generar reportes y tendencias. Generar los reportes de acuerdo a los resultados de los KPI´s de los departamentos. Analizar la métrica y realizar las presentaciones pertinentes.
246,Analista de Bases de Datos TRES R,Analista de Bases de Datos,TRES R,not specified,not specified,750,,MXN,not specified,05/09/22,15/10/22,FULL_TIME,MX,,1,Not specified,1,750,Excel,presencial,"Matemáticas, Administración, Economía, Finanzas, Actuaría e Ingeniería Industrial.",1, Aptitudes analíticas y numéricas desarrolladas,-,month,Carlos,Aptitudes analíticas y numéricas desarrolladas. Manejo de excel intermedio ó avanzado. Experiencia mínima de un año trabajando con bases de datos. Nociones básicas en pricing ó inventarios.
247,Analista de Bóveda Bancaria BBVA BANK,Analista de Bóveda Bancaria,BBVA BANK,not specified,not specified,650,750,MXN,Finanzas,15/09/22,15/10/22,FULL_TIME,MX,,5,Not specified,0,700,Excel,Híbrido,Lic. en áreas Económico – Administrativas (Titulados),1,Competencias y habilidades formadas en:Visión EstratégicaToma de Decisiones basadas en DatosComunicación EfectivaResolución innovadora de problemasDirección y Desarrollo de PersonasFoco en el Cliente y en la Ejecución de la Estrategia,-,month,Carlos,"Funciones Principales: Análisis y control de saldos en Bóvedas (Aprox. 27 Bóvedas), para reducir el riesgo potencial de pérdida de efectivo. Generar estrategias de mejora continua y soluciones de valor.·Administrar y diseñar controles para el correcto manejo de efectivo. Controlar y administrar base de datos de manera semanal, quincenal mensual y anual. Coordinar 27 Bóvedas a nivel nacional. Llevar un adecuado Cash Control. Análisis y supervisión de entradas y salidas de efectivo.Retos del Puesto: Tener capacidad de establecer el punto de control. Validar el apego de los saldos proporcionados por el área de pronósticos vs el efectivo o saldo físico en las Bóvedas. Supervisar el proceso de los proveedores."
