Index,Puesto laboral,Empresa,Estado,Ciudad,Salario mínimo,Salario máximo,Tipo de moneda,Descripción,Giro de la empresa,Fecha de publicación,Vigencia de la oferta,Modalidad,País,Esquema de pago,Cantidad de lenguajes requeridos,Nivel de experiencia,Requerimiento educación,Salario promedio,Lenguajes de programación,Modalidad,Estudios previos,Experiencia (Años) ,Habilidades blandas,Idiomas,Descripción
1,Data Engineer with Azure Synapse,4urHires INC,not specified,not specified,8800.0,9600.0,USD,Azure EngineerStrong experience in SynapseJob Type: ContractSalary: $55.00 - $60.00 per hourSchedule:8 hour shiftExperience:Azure Synapse: 5 years (Required)Data engineer: 10 years (Required)Work Location: Remote,not specified,2022-09-16,2022-10-16,OTHER,EUA,hour,2,Not specified,0,9200.0,"Azure, synapse, ","Remote,","Azure  engeneer, ","Data engineer: 10 years, azure synapse: 5 years",-,,Azure EngineerStrong experience in SynapseJob Type: ContractSalary: $55.00 - $60.00 per hourSchedule:8 hour shiftExperience:Azure Synapse: 5 years (Required)Data engineer: 10 years (Required)Work Location: Remote
2,Data Engineer,MARS Group,not specified,not specified,6348.8,9600.0,USD,"Description: Data is a critical driver of this approach, and a cornerstone for how client engages with its customers.Are you a self-motivated and active learner Software Engineer who is eager to dive into new technologies? If so, come join us! You can help with our continued growth and enterprise data transformation.Responsibilities:Works within an Agile development team to craft and implement enterprise data capabilities and services utilizing cloud compute technologies such as Amazon Web Services (AWS).Enables modern data pipelines using workflow management applications and distributed computing frameworks such as Apache Spark.Builds and tests CI/CD deployment pipelines for data platform components.Develops and supports build solutions for cloud-based data ecosystem.We are looking for: B.S. degree in Computer Science or related field.2+ years of experience in data engineering with Java programming skills, Scala experience is a plus.Good at writing clean, modular, readable, and testable code. Experience with Docker, Kubernetes, and AWS cloud services.Advocate of Test Driven Development, with experience using unit testing frameworks.Familiar with enterprise software architectural patterns: microservice, integration, and messaging patterns.Proficient with GIT and CI/CD practices and agile development methodologies.This person will work with business partners and technical teams to build, test and deliver for electronic communications compliance also do some light design work.What are the must haves for this role? Must be able to design and build integration solutions based on documented business and technical requirementsStrong written and verbal communicationKey attention to detailConsistent follow-throughBackground in Data AnalysisWhat are the nice to haves for this role?Experience coordinating with vendor solutionsSubject area expertise in Compliance technologyJob Types: Full-time, ContractPay: $39.68 - $60.00 per hourSchedule:8 hour shiftMonday to FridayApplication Question(s):Can you work on W2/1099??Experience:Java: 1 year (Preferred)AWS: 1 year (Preferred)Data warehouse: 1 year (Preferred)Work Location: Remote",not specified,2022-09-14,2022-10-16,FULL_TIME,EUA,hour,8,Not specified,1,"7,974,400,000,000,000","Java, Scala, AWS,  Docker, Kubernetes, ","Remote,","B.S. degree in Computer Science or related field,","2+ years of experience in data engineering,  java: 1 year (Preferred),AWS: 1 year (Preferred),Data warehouse: 1 year (Preferred),","Ability to adapt and learn new technologies,  Strong written and verbal communication,",,"Description: Data is a critical driver of this approach, and a cornerstone for how client engages with its customers.Are you a self-motivated and active learner Software Engineer who is eager to dive into new technologies? If so, come join us! You can help with our continued growth and enterprise data transformation.Responsibilities:Works within an Agile development team to craft and implement enterprise data capabilities and services utilizing cloud compute technologies such as Amazon Web Services (AWS).Enables modern data pipelines using workflow management applications and distributed computing frameworks such as Apache Spark.Builds and tests CI/CD deployment pipelines for data platform components.Develops and supports build solutions for cloud-based data ecosystem.We are looking for: B.S. degree in Computer Science or related field.2+ years of experience in data engineering with Java programming skills, Scala experience is a plus.Good at writing clean, modular, readable, and testable code. Experience with Docker, Kubernetes, and AWS cloud services.Advocate of Test Driven Development, with experience using unit testing frameworks.Familiar with enterprise software architectural patterns: microservice, integration, and messaging patterns.Proficient with GIT and CI/CD practices and agile development methodologies.This person will work with business partners and technical teams to build, test and deliver for electronic communications compliance also do some light design work.What are the must haves for this role? Must be able to design and build integration solutions based on documented business and technical requirementsStrong written and verbal communicationKey attention to detailConsistent follow-throughBackground in Data AnalysisWhat are the nice to haves for this role?Experience coordinating with vendor solutionsSubject area expertise in Compliance technologyJob Types: Full-time, ContractPay: $39.68 - $60.00 per hourSchedule:8 hour shiftMonday to FridayApplication Question(s):Can you work on W2/1099??Experience:Java: 1 year (Preferred)AWS: 1 year (Preferred)Data warehouse: 1 year (Preferred)Work Location: Remote "
3,Data Engineer - ENTRY LEVEL,PCS Global Tech,California,Los Angeles,5000.0,"5,833,333,333,333,330",USD,"Responsibilities· Analyze and organize raw data· Build data systems and pipelines· Evaluate business needs and objectives· Interpret trends and patterns· Conduct complex data analysis and report on results· Prepare data for prescriptive and predictive modeling· Build algorithms and prototypes· Combine raw information from different sources· Explore ways to enhance data quality and reliability· Identify opportunities for data acquisition· Develop analytical tools and programs· Collaborate with data scientists and architects on several projectsRequirements· Previous experience as a data engineer or in a similar role· Technical expertise with data models, data mining, and segmentation techniques· Knowledge of programming languages (e.g. Java and Python)· Hands-on experience with SQL database design· Great numerical and analytical skills· Degree in Computer Science, IT, or similar field (STEM)This opportunity is a career starter, what we offer an opportunity that starts with an intensive bootcamp followed by a full-time employment, we offer in house legal support for international students. At PCS Global Tech we care about the professional growth of our employees, we will make your professional career successful.Job Types: Full-time, Contract, InternshipSalary: $60,000.00 - $70,000.00 per yearSchedule:8 hour shiftMonday to FridayNo nightsNo weekendsWork Location: Multiple Locations",Tecnologías de la información,2022-09-15,2022-10-16,FULL_TIME,EUA,year,5,Junior,1,"5,416,666,666,666,660","Java, Python, SQL, ","Multiple locations, ","Degree in Computer Science, IT, or similar field (STEM)","Trainee,","Collaborate, ",,"Responsibilities· Analyze and organize raw data· Build data systems and pipelines· Evaluate business needs and objectives· Interpret trends and patterns· Conduct complex data analysis and report on results· Prepare data for prescriptive and predictive modeling· Build algorithms and prototypes· Combine raw information from different sources· Explore ways to enhance data quality and reliability· Identify opportunities for data acquisition· Develop analytical tools and programs· Collaborate with data scientists and architects on several projectsRequirements· Previous experience as a data engineer or in a similar role· Technical expertise with data models, data mining, and segmentation techniques· Knowledge of programming languages (e.g. Java and Python)· Hands-on experience with SQL database design· Great numerical and analytical skills· Degree in Computer Science, IT, or similar field (STEM)This opportunity is a career starter, what we offer an opportunity that starts with an intensive bootcamp followed by a full-time employment, we offer in house legal support for international students. At PCS Global Tech we care about the professional growth of our employees, we will make your professional career successful.Job Types: Full-time, Contract, InternshipSalary: $60,000.00 - $70,000.00 per yearSchedule:8 hour shiftMonday to FridayNo nightsNo weekendsWork Location: Multiple Locations"
4,Entry-Level Azure Data Engineer,"Antra, Inc",not specified,not specified,"5,166,666,666,666,660","5,833,333,333,333,330",USD,"About usAntra, Inc is a leading IT consultancy business based in Dulles, VA which is 30 mins away from DC.We provide IT services to our clients, and most of our clients are Fortune 500 companies like Wells Fargo , World Bank, Apple, Microsoft, Tesla and also some federal contract organizations, etc.An Azure Data Engineer will be expected to perform duties such as: evaluating the performance of current data solutions, designing and implementing cloud and hybrid data solutions. Ability to adapt and learn new technologies per business requirements is also needed.Responsibilities: Design and implement data solutions using industry best practices.Performs ETL, ELT operations and administration of data and systems securely and in accordance with enterprise data governance standards.Monitor and maintain data pipelines proactively to ensure high service availability.Works with Data Scientists and ML Engineers to understand mathematical models and optimize data solutions accordingly.Continuous development through training and mentorship programs.Create scripts and programs to automate data operations.You meet our “must haves” for this role if you have: Minimum Bachelor’s degree in Data Science, Business Intelligence, Computer Science or related fields, or the equivalent combination of education, professional training, and work experience.0-3 years of experience working with one or more languages commonly used for data operations including SQL, Python, Scala and R.Experience working with relational databases such as SQL Server, Oracle and MySQL.Experience working with NoSQL databases such as Redis, Mongo DB, Cosmos DB.Excellent problem-solving skills and ability to learn through scattered resources.Thorough understanding of the responsibilities and duties of a data engineer, as well as established industry standards/best practices and documentation guidelines.Outstanding communication skills, and the ability to stay self-motivated and work with little or no supervision.Authorization(s) to work lawfully in the United States (OPT/CPT is acceptable).Willing to relocate to any US location on Antra projects location.Plus, if you meet any the of requirements: Experience with cloud-based data technologies.Experience with distributed systems utilizing tools such as Apache Hadoop, Spark or Kafka.Working experience in Agile Scrum environments.Experience with source control tools such as Git, SVN and TFS.Work AuthorizationUS work authorization is required, but the employer is willing to sponsor candidatesJob Type: Full-timePay: $62,000.00 - $70,000.00 per yearBenefits:401(k)Dental insuranceFlexible scheduleHealth insurancePaid time offRelocation assistanceVision insuranceSchedule:Monday to FridayApplication Question(s):Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?Are you willing to relocate if required in the first contract year ?Experience:Python: 1 year (Preferred)Work Location: Remote",Tecnologías de la información,2022-09-13,2022-10-16,FULL_TIME,EUA,year,10,Junior,1,5500.0,"SQL, Python, Scala, R, SQL Server, Oracle, MySQL, NoSQL ,Redis, Mongo DB, Cosmos DB,  Apache Hadoop, Spark , Kafka, Agile Scrum environments,  Git, SVN ,TFS","Remote,","Minimum Bachelor’s degree in Data Science, Business Intelligence, Computer Science or related fields",".0-3 years,","Excellent problem-solving skills,  ability to learn through scattered resources",,"About usAntra, Inc is a leading IT consultancy business based in Dulles, VA which is 30 mins away from DC.We provide IT services to our clients, and most of our clients are Fortune 500 companies like Wells Fargo , World Bank, Apple, Microsoft, Tesla and also some federal contract organizations, etc.An Azure Data Engineer will be expected to perform duties such as: evaluating the performance of current data solutions, designing and implementing cloud and hybrid data solutions. qAbility to adapt and learn new technologies per business reuirements is also needed.Responsibilities: Design and implement data solutions using industry best practices.Performs ETL, ELT operations and administration of data and systems securely and in accordance with enterprise data governance standards.Monitor and maintain data pipelines proactively to ensure high service availability.Works with Data Scientists and ML Engineers to understand mathematical models and optimize data solutions accordingly.Continuous development through training and mentorship programs.Create scripts and programs to automate data operations.You meet our “must haves” for this role if you have: Minimum Bachelor’s degree in Data Science, Business Intelligence, Computer Science or related fields, or the equivalent combination of education, professional training, and work experience.0-3 years of experience working with one or more languages commonly used for data operations including SQL, Python, Scala and R.Experience working with relational databases such as SQL Server, Oracle and MySQL.Experience working with NoSQL databases such as Redis, Mongo DB, Cosmos DB.Excellent problem-solving skills and ability to learn through scattered resources.Thorough understanding of the responsibilities and duties of a data engineer, as well as established industry standards/best practices and documentation guidelines.Outstanding communication skills, and the ability to stay self-motivated and work with little or no supervision.Authorization(s) to work lawfully in the United States (OPT/CPT is acceptable).Willing to relocate to any US location on Antra projects location.Plus, if you meet any the of requirements: Experience with cloud-based data technologies.Experience with distributed systems utilizing tools such as Apache Hadoop, Spark or Kafka.Working experience in Agile Scrum environments.Experience with source control tools such as Git, SVN and TFS.Work AuthorizationUS work authorization is required, but the employer is willing to sponsor candidatesJob Type: Full-timePay: $62,000.00 - $70,000.00 per yearBenefits:401(k)Dental insuranceFlexible scheduleHealth insurancePaid time offRelocation assistanceVision insuranceSchedule:Monday to FridayApplication Question(s):Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?Are you willing to relocate if required in the first contract year ?Experience:Python: 1 year (Preferred)Work Location: Remote"
5,Data Engineer only for OPT EAD,CloudBig Technology,not specified,not specified,8000.0,9600.0,USD,"Work with Technical and business team to understand the business requirements, functional and technical specificationsDesign, code and maintain new and existing complex SQL stored procedures and functionsPerformance tune existing stored procedures, tables and indexesWork with other engineers to troubleshoot, repair and performance tune databasesReview SQL code written by other developers to ensure compliance to coding standards and best practices as well as maximum performanceCreate SSIS packages for data transformation, cleansing, caching, aggregation, staging, and transferTroubleshoot problems that may come up with database environments: performance issues; replication issues; or operational issuesPerform data analysis and data profiling tasks to provide support and recommendations for development and design decisionsAnalyze and define data flow requirements and prepares applicable system documentation and operation manuals as neededSupport production data loads and ongoing refreshes of the database systemsDefine, prepare, execute and implement data validation and unit testing methods to ensure data qualityMaintain re-usable development standards that help implement each solution and/or enhancements to existing systems to meet current and future needsPerform enhancements and bug fixes as requiredPerform any additional duties as assignedJob Type: Full-timeSalary: $50.00 - $60.00 per hourSchedule:8 hour shiftEducation:Master's (Preferred)Experience:Informatica: 1 year (Preferred)SQL: 1 year (Preferred)Data warehouse: 1 year (Preferred)Work Location: Remote",not specified,2022-09-15,2022-10-16,FULL_TIME,EUA,hour,3,Not specified,1,8800.0,"SQL, Data Warehouse,","Remote,",Master's ,"Informatica: 1 year (Preferred), SQL: 1 year (Preferred),Data warehouse: 1 year,","work with other,",,"Work with Technical and business team to understand the business requirements, functional and technical specificationsDesign, code and maintain new and existing complex SQL stored procedures and functionsPerformance tune existing stored procedures, tables and indexesWork with other engineers to troubleshoot, repair and performance tune databasesReview SQL code written by other developers to ensure compliance to coding standards and best practices as well as maximum performanceCreate SSIS packages for data transformation, cleansing, caching, aggregation, staging, and transferTroubleshoot problems that may come up with database environments: performance issues; replication issues; or operational issuesPerform data analysis and data profiling tasks to provide support and recommendations for development and design decisionsAnalyze and define data flow requirements and prepares applicable system documentation and operation manuals as neededSupport production data loads and ongoing refreshes of the database systemsDefine, prepare, execute and implement data validation and unit testing methods to ensure data qualityMaintain re-usable development standards that help implement each solution and/or enhancements to existing systems to meet current and future needsPerform enhancements and bug fixes as requiredPerform any additional duties as assignedJob Type: Full-timeSalary: $50.00 - $60.00 per hourSchedule:8 hour shiftEducation:Master's (Preferred)Experience:Informatica: 1 year (Preferred)SQL: 1 year (Preferred)Data warehouse: 1 year (Preferred)Work Location: Remote"
6,Data Engineer,AppLab Systems,not specified,not specified,12000.0,13600.0,USD,"Job Description: We are looking for Data Engineers to build data pipelines for the Data Center business group's Data Science team at the largest social media organization using its next generation data tools. As a member of a centralized Data Science/Data Engineering team you will contribute to a variety of projects and technologies, depending on partner needs.ResponsibilitiesPartner with leadership, engineers, program managers and data scientists to understand data needs.Design, build and launch extremely efficient and reliable data pipelines to move data across several platforms including Data Warehouse, online caches and real-time systems.Build data expertise and own data quality for your areas.Qualifications2+ years Data Engineering experienceAdvanced SQL coding - Expert in SQL with good understanding of how relational databases workExperience querying massive datasets using Presto, Hive etc.Good Python Programming ExperienceExperience with Data Warehousing ArchitectureExperience with workflow management engines like Airflow, Dataswarm, Luigi etc.2+ years’ experience in custom ETL design, implementation and maintenanceExperience with data quality and validation.Experience with SQL performance tuning and e2e process optimizationRAKESH KUMARDirect : +1 201 565 12974365 Route 1 South, Suite 105Princeton, NJ 08540www.applabsystems.comJob Types: Contract, Full-timeSalary: $75.00 - $85.00 per hourSchedule:8 hour shiftWork Location: Remote",Tecnologías de la información,2022-09-16,2022-10-16,FULL_TIME,EUA,hour,4,Not specified,0,12800.0,"SQL, Presto, Hive, python,  Airflow, Dataswarm, Luigi ,","Remote,",-,"2+ years Data Engineering experience, .2+ years’ experience in custom ETL design,","partner,",,"Job Description: We are looking for Data Engineers to build data pipelines for the Data Center business group's Data Science team at the largest social media organization using its next generation data tools. As a member of a centralized Data Science/Data Engineering team you will contribute to a variety of projects and technologies, depending on partner needs.ResponsibilitiesPartner with leadership, engineers, program managers and data scientists to understand data needs.Design, build and launch extremely efficient and reliable data pipelines to move data across several platforms including Data Warehouse, online caches and real-time systems.Build data expertise and own data quality for your areas.Qualifications2+ years Data Engineering experienceAdvanced SQL coding - Expert in SQL with good understanding of how relational databases workExperience querying massive datasets using Presto, Hive etc.Good Python Programming ExperienceExperience with Data Warehousing ArchitectureExperience with workflow management engines like Airflow, Dataswarm, Luigi etc.2+ years’ experience in custom ETL design, implementation and maintenanceExperience with data quality and validation.Experience with SQL performance tuning and e2e process optimizationRAKESH KUMARDirect : +1 201 565 12974365 Route 1 South, Suite 105Princeton, NJ 08540www.applabsystems.comJob Types: Contract, Full-timeSalary: $75.00 - $85.00 per hourSchedule:8 hour shiftWork Location: Remote"
7,Entry Level Data Engineer - 482013,I28 Technologies Corporation,not specified,not specified,"4,166,666,666,666,660","4,583,333,333,333,330",USD,"Azure Data platform implementation, Managing projects through the entire project lifecycle.Azure Data Factory, Azure Data Lake, Azure DevOps, Azure DataBricks, AzureSQLUnderstanding in Azure data migration patternsKnowledge in Python, C# is mandatoryJob Type: Full-timePay: $50,000.00 - $55,000.00 per yearBenefits:Health insuranceSchedule:8 hour shiftWork Location: Remote",Finanzas,2022-08-23,2022-10-16,FULL_TIME,EUA,year,4,Junior,0,4375.0," Python, C#, Azure Data Factory, Azure Data Lake, Azure DevOps, Azure DataBricks,  SQL","Remote,",-,-,-,,"Azure Data platform implementation, Managing projects through the entire project lifecycle.Azure Data Factory, Azure Data Lake, Azure DevOps, Azure DataBricks, AzureSQLUnderstanding in Azure data migration patternsKnowledge in Python, C# is mandatoryJob Type: Full-timePay: $50,000.00 - $55,000.00 per yearBenefits:Health insuranceSchedule:8 hour shiftWork Location: Remote"
8,Data Engineer,Devcare Solutions,not specified,not specified,8800.0,11200.0,USD,"Job Description :RemoteAt least 3 years experience in multiple projects doing:Required:Data catalog curation; landing page, articles, tags, profiling, search, conversations, endorsements, notifications, deprecationsTraining/mentoring of data catalog stewardsWriting, maintaining, executing data catalog processes, maintain it run bookPreferred:Data catalog administration; add and configure data sources, metadata extract, query log ingestion, data sampling and compose query editorExperience establishing, monitoring, reporting data catalog metrics for Alation AnalyticsJob Type: ContractPay: $55.00 - $70.00 per hourBenefits:Dental insuranceHealth insuranceVision insuranceSchedule:8 hour shiftMonday to FridayExperience:Training/mentoring of data catalog stewards: 3 years (Required)Writing, maintaining, executing data catalog: 3 years (Required)Data catalog curation: 3 years (Required)Work Location: Remote",Tecnologías de la información,2022-09-13,2022-10-16,OTHER,EUA,hour,1,Not specified,0,10000.0,--,"Remote,",-,"3 years, Experience:Training/mentoring of data catalog stewards: 3 years, (Required)Writing, maintaining, executing data catalog: 3 years,(Required)Data catalog curation: 3 years (Required),",,,"Job Description :RemoteAt least 3 years experience in multiple projects doing:Required:Data catalog curation; landing page, articles, tags, profiling, search, conversations, endorsements, notifications, deprecationsTraining/mentoring of data catalog stewardsWriting, maintaining, executing data catalog processes, maintain it run bookPreferred:Data catalog administration; add and configure data sources, metadata extract, query log ingestion, data sampling and compose query editorExperience establishing, monitoring, reporting data catalog metrics for Alation AnalyticsJob Type: ContractPay: $55.00 - $70.00 per hourBenefits:Dental insuranceHealth insuranceVision insuranceSchedule:8 hour shiftMonday to FridayExperience:Training/mentoring of data catalog stewards: 3 years (Required)Writing, maintaining, executing data catalog: 3 years (Required)Data catalog curation: 3 years (Required)Work Location: Remote"
9,Data Engineer,HCL America Inc,not specified,not specified,4800.0,,USD,"Position : Data EngineerLocation: RemoteJob Description· Build and maintain database/bigdata clusters;· Build dashboards for infrastructure management and reporting; Design, develop and support data pipelines;· Design and deploy infrastructure management strategies to meet up time and monitoring SLA’s;· Deploy code release in QA and PROD;· Participate in building unit/performance/integration tests working with database developers;· Participate in database SQL optimization plan;· Deploy configuration and automation tools to remove manual steps in deploying, upgrading, and scaling systems and software across all environment.Technical Skills· Solid background in Python and SQL;· BI tools knowledge· Big data technologies: Hadoop and Kafka· ML frameworks and libraries: TensorFlow, Spark, PyTorch, mlpack· Knowledge of programming languages (langJava, Scala, Python, R, C/C#, Golang)· Experience building data solutions using big data tools: Airflow, Spark, Kafka, AWS;· Experience with data pipeline and workflow management tools· Hands-on experience with requirements analysis, design, coding and testing patterns;· Has experience in engineering (commercial and open source) software platforms and large-scale data infrastructures;· Experience working with cloud computing environmentsJob Types: Full-time, ContractPay: From $30.00 per hourBenefits:401(k)Dental insuranceHealth insurancePaid time offVision insuranceSchedule:8 hour shiftExperience:Spark: 1 year (Required)SQL: 1 year (Required)frameworks and libraries: 1 year (Required)Work Location: Remote",Tecnologías de la información,2022-09-14,2022-10-16,FULL_TIME,EUA,hour,8,Not specified,0,4800.0,"Python,SQL;· BI tools,· Big data technologies, Hadoop , Kafka· ML frameworks and libraries, TensorFlow, Spark, PyTorch, mlpack, Java, Scala, Python, R, C/C#, Golang,  Airflow, Spark, Kafka, AWS;· ","Remote,",-,"Experience:Spark: 1 year (Required),SQL: 1 year (Required),frameworks and libraries: 1 year (Required),",,,"Position : Data EngineerLocation: RemoteJob Description· Build and maintain database/bigdata clusters;· Build dashboards for infrastructure management and reporting; Design, develop and support data pipelines;· Design and deploy infrastructure management strategies to meet up time and monitoring SLA’s;· Deploy code release in QA and PROD;· Participate in building unit/performance/integration tests working with database developers;· Participate in database SQL optimization plan;· Deploy configuration and automation tools to remove manual steps in deploying, upgrading, and scaling systems and software across all environment.Technical Skills· Solid background in Python and SQL;· BI tools knowledge· Big data technologies: Hadoop and Kafka· ML frameworks and libraries: TensorFlow, Spark, PyTorch, mlpack· Knowledge of programming languages (langJava, Scala, Python, R, C/C#, Golang)· Experience building data solutions using big data tools: Airflow, Spark, Kafka, AWS;· Experience with data pipeline and workflow management tools· Hands-on experience with requirements analysis, design, coding and testing patterns;· Has experience in engineering (commercial and open source) software platforms and large-scale data infrastructures;· Experience working with cloud computing environmentsJob Types: Full-time, ContractPay: From $30.00 per hourBenefits:401(k)Dental insuranceHealth insurancePaid time offVision insuranceSchedule:8 hour shiftExperience:Spark: 1 year (Required)SQL: 1 year (Required)frameworks and libraries: 1 year (Required)Work Location: Remote"
10,ETL Data Engineer || REMOTE || Contract Role,Valsatech Corp,not specified,not specified,9600.0,11200.0,USD,"HiThis is regarding to a position of an ETL Data EngineerTitle: ETL Data Engineer Location: REMOTEDuration: Longterm ContractCleint is CMS· Design, develop and deploy infrastructure to support the overall data environment, including data pipeline (ETL/Informatica Workflows) & warehousing solutions· Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases (Oracle, SQ Server, Terradata etc.)· Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement· Build processes supporting data transformation, data structures, metadata, dependency, and workload management· A successful history of manipulating, processing, and extracting value from large, disconnected datasets· Experience supporting and working with cross-functional teams in a dynamic environment· 12+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems, or another quantitative field. They should also have experience using the following software/tools:o Experience with Oracle, PL/SQL, Informatica, Unix Shell Scripting· Serve as technical resource responsible for Oracle SQL development, writing complex queries using advanced PLSQL concepts and, review table structures, apply indexes were needed, performance tune SQL's· 12+ years of experience in Data Analysis, Data Profiling, Root-Cause Analysis, Data Integration, Data Modelling, Reporting and Analytics in Production environments· Lead and mentor a team of Data Engineers and implement best practices· Authorized to work in the United StatesPreferred· Experience with related technologies including SQL Developer and TOAD· Experience with MicroStrategy Reporting or Business Intelligence environment· Experience with continuous integration and continuous deliveryResidency Requirement· Must have lived in the United States at least 3 out of the last 5 years.Interpersonal Skills· Excellent interpersonal, verbal, and written communication, and organizational skills - must be able to communicate fluently in English both verbally and in writing· Should be extremely facts and data oriented· Should be deadline and closure oriented· Strong persuasion, facilitation and influencing skills· Should be self-driven· Strong analytical, organizational and project management skills· Demonstrated ability to lead and work with cross functional teams including senior level individuals· Must be able to thrive in a fast-paced, rapidly evolving environment with varying priorities, based on a team building cultureJob Types: Full-time, ContractPay: $60.00 - $70.00 per hourSchedule:8 hour shiftWork Location: Remote",not specified,2022-09-07,2022-10-16,FULL_TIME,EUA,hour,4,Not specified,1,10400.0,"Oracle, SQ Server, Terradata, Unix Shell Scripting,","Remote,","Graduate degree in Computer Science, Statistics, Informatics, Information Systems, or another quantitative field.",12+ years of experience in a Data Engineer role,"Lead, mentor, Excellent interpersonal, verbal, and written communication, and organizational skills , must be able to communicate fluently in English both verbally and in writing, Should be extremely facts and data oriented,  Should be deadline and closure oriented, Strong persuasion, facilitation and influencing skills, Should be self-driven, Strong analytical organizational and project management skills, Demonstrated ability to lead and work with cross functional teams including senior level individuals, Must be able to thrive in a fast-paced, rapidly evolving environment with varying priorities, based on a team building culture",,"HiThis is regarding to a position of an ETL Data EngineerTitle: ETL Data Engineer Location: REMOTEDuration: Longterm ContractCleint is CMS· Design, develop and deploy infrastructure to support the overall data environment, including data pipeline (ETL/Informatica Workflows) & warehousing solutions· Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases (Oracle, SQ Server, Terradata etc.)· Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement· Build processes supporting data transformation, data structures, metadata, dependency, and workload management· A successful history of manipulating, processing, and extracting value from large, disconnected datasets· Experience supporting and working with cross-functional teams in a dynamic environment· 12+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems, or another quantitative field. They should also have experience using the following software/tools:o Experience with Oracle, PL/SQL, Informatica, Unix Shell Scripting· Serve as technical resource responsible for Oracle SQL development, writing complex queries using advanced PLSQL concepts and, review table structures, apply indexes were needed, performance tune SQL's· 12+ years of experience in Data Analysis, Data Profiling, Root-Cause Analysis, Data Integration, Data Modelling, Reporting and Analytics in Production environments· Lead and mentor a team of Data Engineers and implement best practices· Authorized to work in the United StatesPreferred· Experience with related technologies including SQL Developer and TOAD· Experience with MicroStrategy Reporting or Business Intelligence environment· Experience with continuous integration and continuous deliveryResidency Requirement· Must have lived in the United States at least 3 out of the last 5 years.Interpersonal Skills· Excellent interpersonal, verbal, and written communication, and organizational skills - must be able to communicate fluently in English both verbally and in writing· Should be extremely facts and data oriented· Should be deadline and closure oriented· Strong persuasion, facilitation and influencing skills· Should be self-driven· Strong analytical, organizational and project management skills· Demonstrated ability to lead and work with cross functional teams including senior level individuals· Must be able to thrive in a fast-paced, rapidly evolving environment with varying priorities, based on a team building cultureJob Types: Full-time, ContractPay: $60.00 - $70.00 per hourSchedule:8 hour shiftWork Location: Remote"
